TAGID,TAGNAME,MOVIESWITHTAG,AVGTAGRELEVANCE,AVGRATINGFORTAGGEDMOVIES,UNIQUEUSERSRATINGTAGGEDMOVIES,TOTALRATINGSFORTAGGEDMOVIES,RATINGVARIANCEFORTAGGEDMOVIES,RATINGLIFTVSAVERAGE,TAGEFFECTIVENESSLEVEL
572,italy,10381,0.046,3.97,92228,517096,0.95,12.61,Highly Effective
434,germany,10381,0.046,3.96,106239,686029,0.9,12.32,Highly Effective
918,silent,10381,0.094,3.95,122287,2324829,0.92,12.04,Highly Effective
249,confrontational,10381,0.061,3.95,133688,2508863,0.87,12.04,Highly Effective
398,flashbacks,10381,0.057,3.94,135076,2441198,0.9,11.76,Highly Effective
753,oscar (best foreign language film),10381,0.167,3.94,137586,5761449,0.91,11.76,Highly Effective
746,oscar (best actor),10381,0.11,3.93,138340,6733630,0.9,11.47,Highly Effective
492,harry potter,10381,0.012,3.93,76384,301147,0.97,11.47,Highly Effective
69,anti-war,10381,0.038,3.93,112416,827802,0.91,11.47,Highly Effective
1055,understated,10381,0.068,3.93,134004,2890730,0.89,11.47,Highly Effective
125,berlin,10381,0.07,3.93,100623,827864,0.9,11.47,Highly Effective
395,firefly,10381,0.058,3.93,132821,1740530,0.94,11.47,Highly Effective
409,free to download,10381,0.082,3.93,115098,1466454,0.94,11.47,Highly Effective
712,noir thriller,10381,0.074,3.93,129923,1797476,0.92,11.47,Highly Effective
853,rio de janeiro,10381,0.033,3.93,71801,216391,0.92,11.47,Highly Effective
721,notable soundtrack,10381,0.094,3.93,136121,4166596,0.92,11.47,Highly Effective
237,communism,10381,0.027,3.92,76411,362784,0.9,11.19,Highly Effective
32,afi 100 (laughs),10381,0.076,3.92,130701,2892895,0.92,11.19,Highly Effective
756,oscar (best picture),10381,0.087,3.92,138324,6283703,0.91,11.19,Highly Effective
296,depressing,10381,0.113,3.92,137594,5947795,0.91,11.19,Highly Effective
714,non-linear,10381,0.08,3.92,135994,4216878,0.93,11.19,Highly Effective
293,death penalty,10381,0.072,3.92,134696,2581999,0.89,11.19,Highly Effective
711,noir,10381,0.081,3.92,134879,3163732,0.92,11.19,Highly Effective
303,dialogue driven,10381,0.086,3.92,136764,4163161,0.92,11.19,Highly Effective
189,cathartic,10381,0.085,3.92,137009,3714041,0.92,11.19,Highly Effective
402,foreign,10381,0.156,3.91,138082,6408686,0.92,10.91,Highly Effective
948,spanish,10381,0.09,3.91,118897,1906602,0.92,10.91,Highly Effective
677,mozart,10381,0.058,3.91,135476,2029496,0.94,10.91,Highly Effective
489,hannibal lecter,10381,0.004,3.91,78051,147680,0.94,10.91,Highly Effective
241,complex characters,10381,0.124,3.91,138284,7205152,0.91,10.91,Highly Effective
700,neo-noir,10381,0.06,3.9,132900,2505966,0.93,10.62,Highly Effective
534,imaginary friend,10381,0.023,3.9,88417,385310,0.94,10.62,Highly Effective
946,spaghetti western,10381,0.02,3.9,92634,323523,0.94,10.62,Highly Effective
4,1920s,10381,0.086,3.9,132990,2900770,0.93,10.62,Highly Effective
884,schizophrenia,10381,0.043,3.9,131244,1647067,0.93,10.62,Highly Effective
1121,world war ii,10381,0.056,3.9,116286,1045059,0.95,10.62,Highly Effective
749,oscar (best cinematography),10381,0.134,3.9,138404,7503091,0.92,10.62,Highly Effective
54,amazing cinematography,10381,0.124,3.9,138208,7189535,0.93,10.62,Highly Effective
352,ennio morricone,10381,0.034,3.9,77479,372684,0.9,10.62,Highly Effective
773,perfect,10381,0.1,3.9,138390,7269526,0.93,10.62,Highly Effective
1059,unique,10381,0.059,3.89,134767,3289168,0.94,10.34,Highly Effective
697,nazis,10381,0.055,3.89,118658,984291,0.95,10.34,Highly Effective
805,poverty,10381,0.059,3.89,118768,1108189,0.9,10.34,Highly Effective
751,oscar (best editing),10381,0.062,3.89,137934,4561182,0.92,10.34,Highly Effective
782,photography,10381,0.144,3.89,138392,8156832,0.92,10.34,Highly Effective
393,film noir,10381,0.118,3.89,136661,3895528,0.94,10.34,Highly Effective
1030,tolkien,10381,0.016,3.89,78774,285202,1,10.34,Highly Effective
635,math,10381,0.031,3.89,129595,1097280,0.9,10.34,Highly Effective
281,cyborgs,10381,0.037,3.49,124038,1251476,1.08,-1.01,Moderate
414,fun,10381,0.251,3.49,138492,15609363,1.06,-1.01,Moderate
886,sci fi,10381,0.236,3.49,138493,15426238,1.07,-1.01,Moderate
222,cloning,10381,0.065,3.49,137328,3422579,1.07,-1.01,Moderate
935,soccer,10381,0.018,3.49,55191,131686,1.03,-1.01,Moderate
335,dysfunctional family,10381,0.237,3.49,138493,12960839,1.07,-1.01,Moderate
416,funniest movies,10381,0.068,3.49,136508,2945793,1.07,-1.01,Moderate
763,overrated,10381,0.221,3.49,138493,17281978,1.06,-1.01,Moderate
506,hillarious,10381,0.039,3.49,130778,1717443,1.09,-1.01,Moderate
369,explosions,10381,0.053,3.49,135460,3208775,1.02,-1.01,Moderate
71,archaeology,10381,0.014,3.49,109987,484017,1.04,-1.01,Moderate
321,dragon,10381,0.018,3.49,70662,258628,1.03,-1.01,Moderate
278,cute,10381,0.131,3.49,138334,5769602,1.03,-1.01,Moderate
513,holiday,10381,0.052,3.49,123919,1140636,1.06,-1.01,Moderate
451,good sequel,10381,0.095,3.49,137651,3969753,1.09,-1.01,Moderate
834,racing,10381,0.072,3.49,137276,3350693,1.05,-1.01,Moderate
43,alien,10381,0.063,3.49,136781,2793575,1.08,-1.01,Moderate
555,internet,10381,0.153,3.49,138476,8700312,1.06,-1.01,Moderate
1018,teleportation,10381,0.047,3.49,124614,1406260,1.04,-1.01,Moderate
29,adventure,10381,0.222,3.48,138493,13747513,1.07,-1.29,Moderate
990,superheroes,10381,0.152,3.48,138461,8366792,1.05,-1.29,Moderate
731,nudity (topless - notable),10381,0.241,3.48,138493,15675692,1.05,-1.29,Moderate
1019,television,10381,0.03,3.48,120336,750143,1.05,-1.29,Moderate
577,jay and silent bob,10381,0.015,3.48,55945,167428,1.08,-1.29,Moderate
520,hong kong,10381,0.036,3.48,98758,516145,1.05,-1.29,Moderate
334,dynamic cgi action,10381,0.127,3.48,138480,9314055,1.05,-1.29,Moderate
744,orphans,10381,0.038,3.48,77673,280101,1.02,-1.29,Moderate
436,ghosts/afterlife,10381,0.069,3.48,135578,2197074,1.01,-1.29,Moderate
211,cia,10381,0.034,3.47,117948,957370,0.94,-1.58,Moderate
522,horror,10381,0.112,3.47,131330,2241577,1.12,-1.58,Moderate
442,god,10381,0.11,3.47,138188,4153024,1.11,-1.58,Moderate
825,pulp,10381,0.177,3.47,138490,10750221,1.09,-1.58,Moderate
20,action packed,10381,0.202,3.47,138491,12627618,1.07,-1.58,Moderate
223,clowns,10381,0.039,3.47,107522,578584,1.07,-1.58,Moderate
762,over the top,10381,0.062,3.47,137104,3311826,1.08,-1.58,Moderate
826,punk,10381,0.024,3.47,52098,141175,1.03,-1.58,Moderate
19,action,10381,0.265,3.47,138493,13786279,1.06,-1.58,Moderate
460,gothic,10381,0.072,3.47,128753,1649574,1.07,-1.58,Moderate
457,goretastic,10381,0.074,3.47,113611,1198792,1.08,-1.58,Moderate
325,dreamlike,10381,0.216,3.46,138493,11826707,1.09,-1.86,Moderate
151,bond,10381,0.047,3.46,108544,541908,0.98,-1.86,Moderate
963,stand-up comedy,10381,0.09,3.46,125424,1345780,1.09,-1.86,Moderate
428,geeks,10381,0.06,3.46,132054,1916549,1.05,-1.86,Moderate
441,global warming,10381,0.044,3.46,127350,1144138,1.06,-1.86,Moderate
1056,underwater,10381,0.024,3.46,112564,598806,1.01,-1.86,Moderate
1102,wedding,10381,0.042,3.46,121840,1016274,1.03,-1.86,Moderate
922,single father,10381,0.078,3.46,134706,2158880,1.01,-1.86,Moderate
459,goth,10381,0.092,3.46,134470,2579905,1.06,-1.86,Moderate
186,cartoon,10381,0.076,3.45,132598,2213943,1.07,-2.14,Moderate
1016,teenagers,10381,0.067,3.45,117850,1370197,1.06,-2.14,Moderate
788,plot holes,10381,0.154,3.45,138446,7807402,1.07,-2.14,Moderate
439,girlie movie,10381,0.18,3.45,138480,9346740,1.04,-2.14,Moderate
360,erotic,10381,0.161,3.45,137776,3898723,1.09,-2.14,Moderate
987,super hero,10381,0.083,3.45,136538,3595825,1.06,-2.14,Moderate
839,rats,10381,0.051,3.45,108264,487604,1.08,-2.14,Moderate
450,good romantic comedies,10381,0.077,3.45,135372,2393144,1.03,-2.14,Moderate
44,alien invasion,10381,0.05,3.45,132302,1710251,1.08,-2.14,Moderate
2,007 (series),10381,0.046,3.45,89300,301687,0.95,-2.14,Moderate
1031,tom clancy,10381,0.057,3.45,131581,1852733,0.98,-2.14,Moderate
889,science fiction,10381,0.188,3.45,138484,10513604,1.08,-2.14,Moderate
913,shallow,10381,0.217,3.45,138492,14171375,1.07,-2.14,Moderate
52,alternate reality,10381,0.14,3.45,138456,6995862,1.11,-2.14,Moderate
808,pregnancy,10381,0.041,3.45,94567,436990,1.03,-2.14,Moderate
201,chick flick,10381,0.122,3.45,137716,3718780,1.04,-2.14,Moderate
623,magic,10381,0.101,3.45,137858,4296950,1.08,-2.14,Moderate
309,disney,10381,0.063,3.44,125765,1505103,1.06,-2.43,Moderate
868,russia,10381,0.039,3.44,99062,436709,1.03,-2.43,Moderate
239,competition,10381,0.047,3.44,97452,555234,1.05,-2.43,Moderate
381,fashion,10381,0.091,3.44,136547,2987664,1.04,-2.43,Moderate
951,special effects,10381,0.241,3.44,138493,13693533,1.07,-2.43,Moderate
647,metaphysics,10381,0.042,3.85,121064,1534117,0.96,9.2,Highly Effective
306,disability,10381,0.053,3.85,132227,1609542,0.95,9.2,Highly Effective
6,1950s,10381,0.091,3.85,138223,4941464,0.94,9.2,Highly Effective
380,fascism,10381,0.061,3.85,120225,1326903,0.96,9.2,Highly Effective
1111,wistful,10381,0.073,3.85,132912,2221017,0.95,9.2,Highly Effective
822,psychiatry,10381,0.098,3.85,136150,3753939,0.93,9.2,Highly Effective
544,indie,10381,0.12,3.85,136176,4212935,0.93,9.2,Highly Effective
833,race issues,10381,0.156,3.84,138480,10592982,0.93,8.92,Highly Effective
947,spain,10381,0.046,3.84,95722,412634,0.92,8.92,Highly Effective
165,british comedy,10381,0.062,3.84,130496,1849573,0.95,8.92,Highly Effective
838,rape,10381,0.045,3.84,126027,1154431,0.99,8.92,Highly Effective
411,french,10381,0.089,3.84,109174,907427,0.95,8.92,Highly Effective
549,inspiring,10381,0.088,3.84,138412,6048614,0.93,8.92,Highly Effective
228,colonialism,10381,0.032,3.84,113881,718307,0.93,8.92,Highly Effective
91,autism,10381,0.03,3.84,86998,203179,0.95,8.92,Highly Effective
562,ireland,10381,0.076,3.84,132238,1807282,0.92,8.92,Highly Effective
827,puppets,10381,0.063,3.84,135286,2071821,1,8.92,Highly Effective
483,gypsy accent,10381,0.057,3.84,119947,927640,0.95,8.92,Highly Effective
41,alcatraz,10381,0.016,3.84,89660,186245,0.99,8.92,Highly Effective
583,judaism,10381,0.066,3.84,114886,964959,0.96,8.92,Highly Effective
754,oscar (best music - original score),10381,0.026,3.84,124615,892313,0.98,8.92,Highly Effective
508,historical,10381,0.133,3.84,138394,5542588,0.94,8.92,Highly Effective
344,eerie,10381,0.11,3.84,138011,4887289,0.97,8.92,Highly Effective
791,poignant,10381,0.169,3.84,138456,8018661,0.94,8.92,Highly Effective
243,complicated plot,10381,0.099,3.84,138031,5313511,0.93,8.92,Highly Effective
637,maze,10381,0.079,3.83,137301,3677828,0.97,8.64,Highly Effective
660,modern fantasy,10381,0.113,3.83,138428,6778619,0.96,8.64,Highly Effective
350,england,10381,0.123,3.83,138384,6035727,0.93,8.64,Highly Effective
643,memory loss,10381,0.098,3.83,138435,6684503,0.94,8.64,Highly Effective
1079,vietnam,10381,0.017,3.83,101872,406536,0.97,8.64,Highly Effective
473,grim,10381,0.181,3.83,138364,9350610,0.94,8.64,Highly Effective
423,gangster,10381,0.11,3.83,137162,4214238,0.94,8.64,Highly Effective
1117,working class,10381,0.056,3.83,112474,1048311,0.9,8.64,Highly Effective
606,literature,10381,0.129,3.83,138481,8475651,0.94,8.64,Highly Effective
871,sad,10381,0.113,3.83,138354,5731914,0.94,8.64,Highly Effective
624,magic realism,10381,0.08,3.83,132813,2536996,0.96,8.64,Highly Effective
359,epic,10381,0.082,3.83,138267,5523586,0.96,8.64,Highly Effective
551,intelligent,10381,0.151,3.83,138467,9793757,0.93,8.64,Highly Effective
143,bleak,10381,0.211,3.83,138364,9014731,0.95,8.64,Highly Effective
857,robbery,10381,0.04,3.83,127158,1181212,0.93,8.64,Highly Effective
780,philosophy,10381,0.148,3.83,138471,9595957,0.94,8.64,Highly Effective
194,character study,10381,0.204,3.83,138450,9357645,0.93,8.64,Highly Effective
126,best of 2005,10381,0.085,3.83,137100,3839604,0.93,8.64,Highly Effective
79,artistic,10381,0.184,3.83,138481,10696633,0.94,8.64,Highly Effective
242,complicated,10381,0.154,3.83,138409,8375173,0.93,8.64,Highly Effective
669,morality,10381,0.152,3.83,138484,9781826,0.93,8.64,Highly Effective
443,golden palm,10381,0.24,3.82,138461,9993454,0.96,8.35,Highly Effective
214,civil war,10381,0.059,3.82,131880,1660130,0.95,8.35,Highly Effective
498,heist,10381,0.077,3.82,137132,3362541,0.93,8.35,Highly Effective
5,1930s,10381,0.138,3.82,138313,5445497,0.95,8.35,Highly Effective
636,mathematics,10381,0.013,3.82,78214,286528,0.89,8.35,Highly Effective
665,monty python,10381,0.016,3.82,66132,234366,0.98,8.35,Highly Effective
329,drug abuse,10381,0.085,3.82,134905,2505202,0.95,8.35,Highly Effective
1109,wilderness,10381,0.124,3.82,138272,5580845,0.96,8.35,Highly Effective
813,prison,10381,0.122,3.82,138044,4451112,0.94,8.35,Highly Effective
618,lyrical,10381,0.075,3.82,126565,1744403,0.98,8.35,Highly Effective
330,drug addiction,10381,0.081,3.82,132193,2313594,0.94,8.35,Highly Effective
641,melancholy,10381,0.222,3.82,138485,10907601,0.94,8.35,Highly Effective
319,downbeat,10381,0.213,3.82,138464,9638161,0.95,8.35,Highly Effective
47,almodovar,10381,0.019,3.82,19645,45971,0.92,8.35,Highly Effective
940,south america,10381,0.019,3.82,66744,163376,0.99,8.35,Highly Effective
779,philosophical,10381,0.13,3.82,138385,6955944,0.96,8.35,Highly Effective
517,homophobia,10381,0.044,3.82,111284,835361,0.94,8.35,Highly Effective
1037,tragedy,10381,0.197,3.82,138483,10584289,0.94,8.35,Highly Effective
263,courtroom drama,10381,0.036,3.82,118031,745618,0.89,8.35,Highly Effective
1027,time loop,10381,0.037,3.81,127711,1290075,0.96,8.07,Highly Effective
1124,writing,10381,0.091,3.81,137081,3851198,0.96,8.07,Highly Effective
181,caper,10381,0.077,3.81,137251,3363017,0.93,8.07,Highly Effective
133,biographical,10381,0.107,3.81,137551,4116089,0.93,8.07,Highly Effective
790,poetry,10381,0.095,3.81,133645,2185421,0.98,8.07,Highly Effective
557,intimate,10381,0.249,3.81,138418,8571855,0.95,8.07,Highly Effective
419,future,10381,0.095,3.58,138140,4706179,1.05,1.55,Effective
1033,too short,10381,0.085,3.58,136967,3312306,1.02,1.55,Effective
240,complex,10381,0.321,3.58,138493,17436383,1.03,1.55,Effective
625,male nudity,10381,0.252,3.58,138493,14453646,1.05,1.55,Effective
856,roald dahl,10381,0.022,3.58,72989,276387,0.98,1.55,Effective
878,satirical,10381,0.202,3.58,138491,9873783,1.08,1.55,Effective
1090,visual,10381,0.277,3.58,138493,16729519,1.04,1.55,Effective
937,solitude,10381,0.215,3.58,138493,13666513,1.06,1.55,Effective
154,books,10381,0.205,3.58,138493,14422580,1.03,1.55,Effective
661,money,10381,0.065,3.58,128701,1414231,1.01,1.55,Effective
212,cinematography,10381,0.347,3.58,138493,17773992,1.04,1.55,Effective
588,kids,10381,0.109,3.58,138413,5797691,1.04,1.55,Effective
288,dark hero,10381,0.243,3.58,138493,17954894,1.03,1.55,Effective
104,ballet,10381,0.011,3.58,35005,75928,1.06,1.55,Effective
119,beatles,10381,0.006,3.57,17843,26940,0.99,1.26,Effective
604,lions,10381,0.051,3.57,128111,1326176,1.01,1.26,Effective
761,oscar winner,10381,0.23,3.57,138493,18205836,1.03,1.26,Effective
469,great movie,10381,0.31,3.57,138493,18624637,1.03,1.26,Effective
607,liv tyler,10381,0.031,3.57,95853,460371,1.07,1.26,Effective
1008,talky,10381,0.361,3.57,138493,18304356,1.03,1.26,Effective
552,intelligent sci-fi,10381,0.057,3.57,125451,1310714,1.04,1.26,Effective
150,bombs,10381,0.057,3.57,126971,1211511,0.99,1.26,Effective
727,nudity (full frontal - notable),10381,0.238,3.57,138476,10981914,1.06,1.26,Effective
227,college,10381,0.044,3.57,120165,950045,1.02,1.26,Effective
893,screwball,10381,0.099,3.57,136756,3079068,1.07,1.26,Effective
193,cgi,10381,0.073,3.57,137809,4365621,1.05,1.26,Effective
858,robert downey jr,10381,0.084,3.57,133886,2039689,0.97,1.26,Effective
991,supernatural,10381,0.113,3.57,138041,4202355,1.06,1.26,Effective
129,better than expected,10381,0.215,3.57,138493,16046144,1.03,1.26,Effective
27,adoption,10381,0.117,3.57,136926,3087198,1.02,1.26,Effective
910,sexualized violence,10381,0.257,3.57,138493,14608408,1.05,1.26,Effective
1022,terrorism,10381,0.038,3.57,130839,1706926,0.95,1.26,Effective
841,realistic action,10381,0.113,3.57,137014,3770925,1.01,1.26,Effective
255,cool,10381,0.217,3.57,138493,15335672,1.04,1.26,Effective
387,feel good movie,10381,0.231,3.57,138493,15821300,1.04,1.26,Effective
784,pirates,10381,0.009,3.57,70429,186744,1.02,1.26,Effective
51,alternate history,10381,0.153,3.57,138492,11443232,1.04,1.26,Effective
1015,teenager,10381,0.078,3.57,125417,2047720,1.03,1.26,Effective
944,space program,10381,0.034,3.57,128064,1125054,1.04,1.26,Effective
992,suprisingly clever,10381,0.325,3.57,138493,18905062,1.02,1.26,Effective
252,conspiracy theory,10381,0.07,3.56,137565,3647718,1.01,0.98,Effective
322,dragons,10381,0.066,3.56,133371,2085220,1.06,0.98,Effective
72,argentina,10381,0.039,3.56,81777,243679,1.03,0.98,Effective
556,interracial romance,10381,0.111,3.56,137194,3584784,1.01,0.98,Effective
1001,swashbuckler,10381,0.076,3.56,136912,2957715,1.02,0.98,Effective
18,absurd,10381,0.26,3.56,138493,16612075,1.04,0.98,Effective
828,queer,10381,0.193,3.56,138492,9488379,1.08,0.98,Effective
465,great acting,10381,0.346,3.56,138493,18840149,1.04,0.98,Effective
365,excellent script,10381,0.277,3.56,138493,18738278,1.04,0.98,Effective
864,romantic,10381,0.243,3.56,138493,14100406,1.04,0.98,Effective
493,harsh,10381,0.325,3.56,138493,18675754,1.04,0.98,Effective
221,clones,10381,0.104,3.56,138296,5009669,1.07,0.98,Effective
1092,visually stunning,10381,0.287,3.56,138493,18357197,1.04,0.98,Effective
488,handycam,10381,0.026,3.56,62322,215810,1.09,0.98,Effective
592,kung fu,10381,0.057,3.56,129450,1609763,1.07,0.98,Effective
284,dancing,10381,0.055,3.56,125953,1137886,1.08,0.98,Effective
1062,unlikely friendships,10381,0.281,3.56,138493,18016907,1.04,0.98,Effective
388,feel-good,10381,0.265,3.56,138493,16808498,1.04,0.98,Effective
216,classic car,10381,0.248,3.56,138493,18589165,1.04,0.98,Effective
295,depp & burton,10381,0.016,3.55,75553,258407,0.98,0.69,Effective
205,china,10381,0.025,3.55,72170,272316,0.99,0.69,Effective
904,series,10381,0.149,3.55,138473,7925834,1.06,0.69,Effective
405,france,10381,0.066,3.78,125161,1029279,0.95,7.22,Effective
305,directorial debut,10381,0.12,3.78,138024,5034455,0.97,7.22,Effective
421,gambling,10381,0.032,3.78,106985,542834,0.93,7.22,Effective
145,blood,10381,0.114,3.78,137960,6043390,0.99,7.22,Effective
575,japan,10381,0.064,3.78,88625,734022,1.02,7.22,Effective
581,jews,10381,0.085,3.78,133641,1669080,0.96,7.22,Effective
565,ironic,10381,0.164,3.78,138476,9815309,0.97,7.22,Effective
580,jewish,10381,0.071,3.78,123270,973267,0.97,7.22,Effective
1029,tokyo,10381,0.162,3.78,138420,8957590,0.98,7.22,Effective
689,mystery,10381,0.107,3.78,138092,4586179,0.96,7.22,Effective
818,propaganda,10381,0.08,3.78,135490,2169244,0.95,7.22,Effective
619,macabre,10381,0.183,3.78,138486,10105202,0.97,7.22,Effective
617,lynch,10381,0.047,3.78,111987,933083,1.01,7.22,Effective
1065,us history,10381,0.127,3.78,138457,7380166,0.96,7.22,Effective
526,hotel,10381,0.17,3.78,138488,10466278,0.96,7.22,Effective
739,ominous,10381,0.112,3.78,138291,6175044,0.97,7.22,Effective
37,aids,10381,0.073,3.78,135890,2420543,0.93,7.22,Effective
152,book,10381,0.084,3.77,138111,3550978,0.98,6.93,Effective
28,adultery,10381,0.144,3.77,138083,5460021,0.96,6.93,Effective
10,19th century,10381,0.068,3.77,130005,1629528,0.96,6.93,Effective
785,pixar,10381,0.008,3.77,79530,331476,0.89,6.93,Effective
82,assassination,10381,0.179,3.77,138469,9363972,0.95,6.93,Effective
253,controversial,10381,0.094,3.77,134108,2764135,0.99,6.93,Effective
341,eccentricity,10381,0.141,3.77,138419,6765616,0.96,6.93,Effective
645,mental illness,10381,0.187,3.77,138450,8975252,0.97,6.93,Effective
736,office,10381,0.021,3.77,85291,263960,0.9,6.93,Effective
977,stunning,10381,0.161,3.77,138486,9135925,0.97,6.93,Effective
851,revolution,10381,0.117,3.77,138423,5954868,0.97,6.93,Effective
537,immigrants,10381,0.071,3.77,106934,754798,0.97,6.93,Effective
880,saturn award (best science fiction film),10381,0.055,3.77,137596,4169906,0.96,6.93,Effective
259,costume drama,10381,0.123,3.77,137912,4208821,0.95,6.93,Effective
949,spanish civil war,10381,0.047,3.77,29196,59169,0.94,6.93,Effective
806,powerful ending,10381,0.198,3.77,138490,11313518,0.97,6.93,Effective
658,mob,10381,0.113,3.77,137825,5112205,0.96,6.93,Effective
869,russian,10381,0.075,3.77,132059,1683361,0.96,6.93,Effective
836,radio,10381,0.092,3.77,138063,3762705,0.95,6.93,Effective
67,anti-hero,10381,0.144,3.77,138423,8923633,0.97,6.93,Effective
122,beautifully filmed,10381,0.23,3.77,138492,12645149,0.96,6.93,Effective
652,mindfuck,10381,0.114,3.76,137180,4350824,1.01,6.65,Effective
285,dark,10381,0.17,3.76,138407,8480833,0.98,6.65,Effective
25,addiction,10381,0.125,3.76,137262,4251676,0.96,6.65,Effective
1081,view askew,10381,0.051,3.76,109416,637286,1.03,6.65,Effective
883,scenic,10381,0.154,3.76,138493,11127502,0.97,6.65,Effective
182,capitalism,10381,0.082,3.76,136722,2567546,0.96,6.65,Effective
558,investigation,10381,0.149,3.76,138293,6438651,0.96,6.65,Effective
866,rome,10381,0.029,3.76,97089,378739,1,6.65,Effective
634,masterpiece,10381,0.209,3.76,138486,11973529,0.98,6.65,Effective
512,hitman,10381,0.13,3.76,138284,6612409,0.96,6.65,Effective
219,claymation,10381,0.006,3.76,56405,137973,0.97,6.65,Effective
168,brutal,10381,0.14,3.76,138026,5934627,0.98,6.65,Effective
30,affectionate,10381,0.23,3.76,138490,12797124,0.96,6.65,Effective
786,pixar animation,10381,0.018,3.76,100602,479590,0.92,6.65,Effective
997,surveillance,10381,0.164,3.76,138479,9953002,0.96,6.65,Effective
766,paranoia,10381,0.145,3.76,138358,6841161,0.97,6.65,Effective
413,frightening,10381,0.055,3.76,133212,2624208,1,6.65,Effective
912,shakespeare,10381,0.018,3.76,71398,219269,0.98,6.65,Effective
297,depression,10381,0.216,3.76,138489,10208653,0.97,6.65,Effective
463,gratuitous violence,10381,0.11,3.76,137954,5542616,0.98,6.65,Effective
769,paris,10381,0.077,3.76,124826,1205851,0.96,6.65,Effective
903,serial killer,10381,0.114,3.76,137218,4208223,1,6.65,Effective
337,dystopic future,10381,0.087,3.75,138256,5673363,0.99,6.37,Effective
616,low budget,10381,0.11,3.75,136227,3660123,1.02,6.37,Effective
566,irreverent,10381,0.108,3.75,137979,5551644,1.01,6.37,Effective
547,insanity,10381,0.189,3.75,138478,10085912,0.99,6.37,Effective
453,good story,10381,0.09,3.75,138470,7632243,0.96,6.37,Effective
449,good music,10381,0.164,3.75,138492,12159178,0.97,6.37,Effective
261,court,10381,0.049,3.75,129908,1471944,0.91,6.37,Effective
56,american civil war,10381,0.031,3.75,98599,345247,1.01,6.37,Effective
531,idealism,10381,0.222,3.75,138493,13453836,0.95,6.37,Effective
984,suburbia,10381,0.124,3.81,138297,6089582,0.96,8.07,Highly Effective
76,art house,10381,0.102,3.81,128706,2344524,1,8.07,Highly Effective
431,genocide,10381,0.051,3.81,132977,1633541,0.94,8.07,Highly Effective
289,dark humor,10381,0.159,3.81,138346,7739310,0.96,8.07,Highly Effective
611,long,10381,0.125,3.81,138469,7728320,0.96,8.07,Highly Effective
962,stage magic,10381,0.028,3.81,88748,291103,0.96,8.07,Highly Effective
653,mining,10381,0.031,3.81,71692,198452,0.93,8.07,Highly Effective
1110,wine,10381,0.09,3.81,137563,3693005,0.95,8.07,Highly Effective
1122,writer's life,10381,0.066,3.81,100889,788658,0.93,8.07,Highly Effective
510,hit men,10381,0.103,3.81,137633,4463854,0.96,8.07,Highly Effective
218,claustrophobic,10381,0.137,3.81,138345,6710130,0.96,8.07,Highly Effective
695,nature,10381,0.029,3.81,78187,286303,1.05,8.07,Highly Effective
254,cooking,10381,0.025,3.81,63302,194319,0.91,8.07,Highly Effective
1080,vietnam war,10381,0.014,3.81,102713,422283,0.97,8.07,Highly Effective
898,segregation,10381,0.158,3.81,138490,10582329,0.94,8.07,Highly Effective
804,potential oscar nom,10381,0.082,3.81,128138,2063933,0.93,8.07,Highly Effective
