MOVIEID,TITLE,GENRES,TOTALRATERS,TOTALRATINGS,AVGRATING,AVGGENOMERELEVANCE,TAGCOUNT,OPPORTUNITYTYPE,PRIORITYSCORE,ACTIONPRIORITY,RECOMMENDEDACTION
113933,"Pyx, The (1973)",Crime|Horror|Thriller,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
116181,The Princess Comes Across (1936),Comedy|Mystery|Romance|Thriller,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
125962,Charlie Brown's Christmas Tales (2002),Animation|Children|Comedy,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
98617,Lulu in Berlin (1984),Documentary,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
109949,Blood Out (2011),Action,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
99521,"Incruste, L' (a.k.a. L'Incruste, fallait pas le laisser entrer!) (2004)",Comedy,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
108253,Shadow Puppets (2007),Horror|Mystery|Thriller,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
115987,The Circle (2002),Thriller,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
125397,The Virginian (1946),Romance|Western,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
116754,Dear Brigitte (1965),Comedy,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
128916,The Indifferent Beauty (1957),(no genres listed),1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
100006,First Daughter (1999),Comedy|Romance|Thriller,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
123333,Lucrèce Borgia (1935),(no genres listed),1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
120835,Fight for Your Right Revisited (2011),Comedy,7,7,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
64099,Stuff and Dough (Marfa si banii) (2001),Drama,2,2,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
111451,In a Town This Size (2011),Documentary,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
114888,House III: The Horror Show (1989),Horror,4,4,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
108090,Dragon Ball: The Path to Power (Doragon bôru: Saikyô e no michi) (1996),Action|Adventure|Animation|Children,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
43260,8MM 2 (2005),Drama|Mystery|Thriller,6,6,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
83607,Manon (1949),Crime|Drama,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
74965,"Dead Outside, The (2008)",Horror|Mystery|Thriller,5,5,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
109567,All the Young Men (1960),Drama|War,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
129017,The Man in the Orange Jacket (2014),Horror|Mystery|Thriller,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
95230,Macbeth in Manhattan (1999),Drama,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
107955,"Snitch Cartel, The (El cartel de los sapos) (2011)",Crime|Drama,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
84643,Allegheny Uprising (1939),Action|Adventure|Western,5,5,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
82368,Alabama's Ghost (1973),Horror,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
68392,Happy Campers (2001),Comedy,19,19,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
117572,Hit by Lightning (2014),Comedy|Crime|Romance,2,2,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
125946,Manson (1973),Documentary,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
88649,Sweet Rush (Tatarak) (2009),Drama,2,2,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
118570,Jarhead 2: Field of Fire (2014),Action|Drama|War,3,3,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
92032,"Don Is Dead, The (1973)",Action|Crime|Drama|Thriller,2,2,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
97548,Giger's Necronomicon (1975),Documentary,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
7166,"Young Black Stallion, The (2003)",Adventure|Children|Drama,17,17,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
130520,Home (2015),Animation|Children|Comedy|Fantasy|Sci-Fi,3,3,2.5,0.096,1128,Standard,6,STANDARD,Monitor standard performance metrics.
117598,Diary of a Madman (1963),Horror,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
119454,Tyler Perry's Madea's Big Happy Family (2011),Comedy|Drama,2,2,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
131084,Hui Buh: The Castle Ghost (2006),Adventure|Comedy|Fantasy,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
90825,Flower & Garnet (2002),Drama,2,2,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
91694,Intruders (2011),Horror|Thriller,30,30,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
107426,Demons 2 (Dèmoni 2... l'incubo ritorna) (1986),Horror,4,4,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
102965,Attack on the Iron Coast (1968),Action|Drama|War,2,2,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
130079,Enquiring Minds: The Untold Story of the Man Behind the National Enquirer (2014),Documentary,2,2,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
72094,"Maradona, the Hand of God (Maradona, la mano di Dio) (2007)",Drama,5,5,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
107664,Wild Women (1970),Action|Western,2,2,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
89527,Higher and Higher (1943),Comedy|Musical|Romance,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
103290,"Anniversary, The (1968)",Comedy|Drama|Horror|Thriller,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
100296,Den sommeren jeg fylte 15 (1976),Drama,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
122774,Monster (2008),Action|Horror|Sci-Fi,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
92658,Kino-Eye (Kinoglaz) (1924),Documentary,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
125964,Eat (2011),Drama,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
125990,Apple Jack (2003),Comedy|Drama,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
87915,Mondo Trasho (1969),Comedy,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
127654,Relationship Status: It's Complicated (2014),Comedy|Romance,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
89516,Felicity (1980),Drama,3,3,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
128530,Marilyn: The Untold Story (1980),Documentary,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
103851,Page Miss Glory (1935),Comedy,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
125956,It's a Bird (1930),(no genres listed),1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
106240,Free Birds (2013),Action|Adventure|Animation|Children|Comedy|Sci-Fi,35,35,2.5,0.071,1128,Standard,6,STANDARD,Monitor standard performance metrics.
122683,Nancy Drew and the Hidden Staircase (1939),Comedy|Crime|Mystery,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
113035,"Bachelor Weekend, The (2013)",Comedy|Drama,3,3,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
119310,Days and Nights (2014),Comedy|Drama,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
94539,Viva Riva! (2010),Drama,4,4,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
93063,Khodorkovsky (2011),Documentary|Drama,4,4,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
105252,Conquest (1983),Action|Adventure|Fantasy,1,1,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
87511,Two Girls and a Sailor (1944),Comedy|Musical|Romance,2,2,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
105077,"Cat's-Paw, The (1934)",Comedy,2,2,2.5,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
7402,"Food of the Gods, The (1976)",Horror|Sci-Fi,69,69,2.49,0.088,1128,Standard,6,STANDARD,Monitor standard performance metrics.
1636,Stag (1997),Action|Thriller,78,78,2.49,0.113,1128,Standard,6,STANDARD,Monitor standard performance metrics.
26567,Club Paradise (1986),Comedy,72,72,2.49,0.136,1128,Standard,6,STANDARD,Monitor standard performance metrics.
3579,I Dreamed of Africa (2000),Drama,300,300,2.49,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
4137,Morgan Stewart's Coming Home (1987),Comedy,80,80,2.49,0.092,1128,Standard,6,STANDARD,Monitor standard performance metrics.
72874,"Peacekeeper, The (1997)",Action,38,38,2.49,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
98,Shopping (1994),Action|Thriller,81,81,2.49,0.092,1128,Standard,6,STANDARD,Monitor standard performance metrics.
5851,Rollover (1981),Drama,29,29,2.48,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
2486,"24 Hour Woman, The (1998)",Comedy|Drama,66,66,2.48,0.083,1128,Standard,6,STANDARD,Monitor standard performance metrics.
5217,Super Fuzz (a.k.a. Super Snooper) (Poliziotto superpiù) (1980),Action|Comedy|Sci-Fi,65,65,2.48,0.076,1128,Standard,6,STANDARD,Monitor standard performance metrics.
6309,Married to It (1991),Comedy|Drama,21,21,2.48,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
5567,"Incubus, The (1981)",Horror|Thriller,43,43,2.48,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
1622,Kicked in the Head (1997),Comedy|Drama,57,57,2.48,0.119,1128,Standard,6,STANDARD,Monitor standard performance metrics.
65552,Replicant (2001),Action|Sci-Fi|Thriller,47,47,2.48,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
126548,The DUFF (2015),Comedy,22,22,2.48,0.1,1128,Standard,6,STANDARD,Monitor standard performance metrics.
80505,2012: Supernova (2009),Action|Sci-Fi,24,24,2.48,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
70641,Miss March (2009),Comedy,82,82,2.48,0.09,1128,Standard,6,STANDARD,Monitor standard performance metrics.
3352,Brown's Requiem (1998),Drama,27,27,2.48,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
4931,Don't Go in the House (1980),Horror,33,33,2.48,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
6651,Ash Wednesday (2002),Crime|Drama,58,58,2.48,0.109,1128,Standard,6,STANDARD,Monitor standard performance metrics.
96456,ATM (2012),Horror|Thriller,30,30,2.48,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
576,Fausto (1993),Comedy,25,25,2.48,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
6737,Super Sucker (2002),Comedy,26,26,2.48,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
6569,Hotel (2001),Comedy,47,47,2.48,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
672,Tarantella (1995),Drama,27,27,2.48,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
5697,Terror Train (1980),Horror,84,84,2.48,0.098,1128,Standard,6,STANDARD,Monitor standard performance metrics.
5189,Humanoids from the Deep (1980),Horror|Sci-Fi,88,88,2.48,0.098,1128,Standard,6,STANDARD,Monitor standard performance metrics.
3187,Trans (1998),Drama,29,29,2.47,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
2510,Just the Ticket (1999),Comedy|Romance,72,72,2.47,0.128,1128,Standard,6,STANDARD,Monitor standard performance metrics.
71728,Gayniggers From Outer Space (1992),Comedy|Sci-Fi,39,39,2.47,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
4818,Extreme Days (2001),Action|Adventure|Comedy|Drama,48,48,2.47,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
7252,"Three Stooges in Orbit, The (1962)",Comedy|Sci-Fi,70,70,2.47,0.15,1128,Standard,6,STANDARD,Monitor standard performance metrics.
4582,Dead Bang (1989),Thriller,77,77,2.47,0.084,1128,Standard,6,STANDARD,Monitor standard performance metrics.
3486,Devil Girl From Mars (1954),Sci-Fi,59,59,2.47,0.08,1128,Standard,6,STANDARD,Monitor standard performance metrics.
67459,Chaos (2005),Crime|Drama|Horror,16,16,2.47,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
4358,Macabre (1958),Horror|Thriller,32,32,2.47,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
27887,Cruel Intentions 3 (2004),Drama|Thriller,36,36,2.47,0.082,1128,Standard,6,STANDARD,Monitor standard performance metrics.
3542,Coming Apart (1969),Drama,16,16,2.47,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
5362,White Fang 2: Myth of the White Wolf (1994),Adventure|Children,76,76,2.47,0.069,1128,Standard,6,STANDARD,Monitor standard performance metrics.
64234,"Guyver, The (1991)",Action|Comedy|Sci-Fi,47,47,2.47,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
5863,Take This Job and Shove It (1981),Comedy,67,67,2.47,0.1,1128,Standard,6,STANDARD,Monitor standard performance metrics.
6034,"Paradise, Hawaiian Style (1966)",Comedy|Musical,19,19,2.47,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
5719,Charlie Chan and the Curse of the Dragon Queen (1981),Comedy|Mystery,29,29,2.47,0,0,Standard,6,STANDARD,Monitor standard performance metrics.
