USERID,MOVIES_RATED,TOTAL_RATINGS,AVG_RATING_GIVEN,RATING_VARIANCE,TOTAL_TAGS_APPLIED,TAGS_PER_MOVIE_RATIO,USER_ENGAGEMENT_TIER,RATING_STYLE,RATING_PATTERN,TAGGING_BEHAVIOR
122925,270,270,3.56,0.78,415,1.54,Power User,Balanced Rater,Consistent (Low Variance),High Tagger
92814,173,173,4.14,1.04,267,1.54,Power User,Generous Rater,Moderate Variance,High Tagger
37762,191,191,3.28,1.15,293,1.53,Power User,Critical Rater,Moderate Variance,High Tagger
25737,1036,1036,3.53,1.28,1576,1.52,Power User,Balanced Rater,Discriminating (High Variance),High Tagger
22074,268,268,3.25,0.76,407,1.52,Power User,Critical Rater,Consistent (Low Variance),High Tagger
134197,129,129,3.99,0.87,195,1.51,Regular User,Balanced Rater,Moderate Variance,High Tagger
22338,96,96,3.61,0.52,143,1.49,Regular User,Balanced Rater,Consistent (Low Variance),High Tagger
30920,37,37,3.59,1.2,55,1.49,Casual User,Balanced Rater,Discriminating (High Variance),High Tagger
65947,123,123,4,0.71,181,1.47,Regular User,Generous Rater,Consistent (Low Variance),High Tagger
6431,597,597,3.7,0.96,875,1.47,Power User,Balanced Rater,Moderate Variance,High Tagger
6988,666,666,3.17,0.98,976,1.47,Power User,Critical Rater,Moderate Variance,High Tagger
36848,64,64,3.27,1.23,94,1.47,Casual User,Critical Rater,Discriminating (High Variance),High Tagger
127489,198,198,3.46,0.95,289,1.46,Power User,Critical Rater,Moderate Variance,High Tagger
112736,95,95,3.69,0.88,137,1.44,Regular User,Balanced Rater,Moderate Variance,High Tagger
19356,140,140,3.63,0.55,202,1.44,Regular User,Balanced Rater,Consistent (Low Variance),High Tagger
93009,208,208,3.96,0.72,297,1.43,Power User,Balanced Rater,Consistent (Low Variance),High Tagger
31477,44,44,4.27,0.92,63,1.43,Casual User,Generous Rater,Moderate Variance,High Tagger
26391,168,168,3.32,1.16,239,1.42,Power User,Critical Rater,Moderate Variance,High Tagger
70201,3488,3488,2.95,0.56,4885,1.40,Power User,Very Critical Rater,Consistent (Low Variance),High Tagger
131900,369,369,3.65,0.69,518,1.40,Power User,Balanced Rater,Consistent (Low Variance),High Tagger
72700,67,67,3.89,0.78,94,1.40,Casual User,Balanced Rater,Consistent (Low Variance),High Tagger
95616,87,87,3.79,1.07,121,1.39,Regular User,Balanced Rater,Moderate Variance,High Tagger
9397,191,191,4.05,0.57,263,1.38,Power User,Generous Rater,Consistent (Low Variance),High Tagger
105264,29,29,3.97,1.47,40,1.38,Light User,Balanced Rater,Discriminating (High Variance),High Tagger
48816,334,334,3.42,1.07,457,1.37,Power User,Critical Rater,Moderate Variance,High Tagger
90453,172,172,3.92,0.69,236,1.37,Power User,Balanced Rater,Consistent (Low Variance),High Tagger
21058,244,244,4,0.7,331,1.36,Power User,Generous Rater,Consistent (Low Variance),High Tagger
16724,577,577,4.26,0.57,784,1.36,Power User,Generous Rater,Consistent (Low Variance),High Tagger
55061,20,20,3.65,0.65,27,1.35,Light User,Balanced Rater,Consistent (Low Variance),High Tagger
22323,485,485,3.52,0.83,650,1.34,Power User,Balanced Rater,Moderate Variance,High Tagger
131537,44,44,3.77,1.02,59,1.34,Casual User,Balanced Rater,Moderate Variance,High Tagger
76293,53,53,3.83,0.8,71,1.34,Casual User,Balanced Rater,Moderate Variance,High Tagger
42798,308,308,3.32,1,411,1.33,Power User,Critical Rater,Moderate Variance,High Tagger
70515,47,47,3.98,0.86,62,1.32,Casual User,Balanced Rater,Moderate Variance,High Tagger
55313,290,290,3.67,1.09,384,1.32,Power User,Balanced Rater,Moderate Variance,High Tagger
57434,1003,1003,3.43,0.83,1323,1.32,Power User,Critical Rater,Moderate Variance,High Tagger
4812,123,123,3.71,0.88,161,1.31,Regular User,Balanced Rater,Moderate Variance,High Tagger
40722,45,45,3.79,0.95,59,1.31,Casual User,Balanced Rater,Moderate Variance,High Tagger
55516,48,48,4.42,1.11,63,1.31,Casual User,Generous Rater,Moderate Variance,High Tagger
90097,97,97,4,1.1,125,1.29,Regular User,Generous Rater,Moderate Variance,High Tagger
50019,70,70,3.22,1.25,90,1.29,Regular User,Critical Rater,Discriminating (High Variance),High Tagger
96124,62,62,3.69,0.99,80,1.29,Casual User,Balanced Rater,Moderate Variance,High Tagger
25004,174,174,3.51,0.91,224,1.29,Power User,Balanced Rater,Moderate Variance,High Tagger
52894,53,53,3.99,0.92,68,1.28,Casual User,Balanced Rater,Moderate Variance,High Tagger
92773,203,203,3.73,0.92,257,1.27,Power User,Balanced Rater,Moderate Variance,High Tagger
3385,37,37,2.88,1.34,47,1.27,Casual User,Very Critical Rater,Discriminating (High Variance),High Tagger
124981,35,35,3.11,0.92,44,1.26,Casual User,Critical Rater,Moderate Variance,High Tagger
69430,106,106,4.16,1.01,133,1.25,Regular User,Generous Rater,Moderate Variance,High Tagger
45346,88,88,3.14,1.82,109,1.24,Regular User,Critical Rater,Discriminating (High Variance),High Tagger
82388,84,84,4.63,0.55,103,1.23,Regular User,Generous Rater,Consistent (Low Variance),High Tagger
95924,84,84,4.13,1.15,102,1.21,Regular User,Generous Rater,Moderate Variance,High Tagger
20408,29,29,2.67,0.88,35,1.21,Light User,Very Critical Rater,Moderate Variance,High Tagger
56308,117,117,3.65,0.81,142,1.21,Regular User,Balanced Rater,Moderate Variance,High Tagger
23068,915,915,3.51,0.85,1095,1.20,Power User,Balanced Rater,Moderate Variance,High Tagger
133107,124,124,4.05,0.88,145,1.17,Regular User,Generous Rater,Moderate Variance,High Tagger
51492,95,95,3.91,0.86,111,1.17,Regular User,Balanced Rater,Moderate Variance,High Tagger
26445,254,254,3.43,0.85,298,1.17,Power User,Critical Rater,Moderate Variance,High Tagger
102488,107,107,4.05,0.69,124,1.16,Regular User,Generous Rater,Consistent (Low Variance),High Tagger
67718,100,100,4.25,0.64,116,1.16,Regular User,Generous Rater,Consistent (Low Variance),High Tagger
4284,411,411,4.01,0.6,473,1.15,Power User,Generous Rater,Consistent (Low Variance),High Tagger
118043,37,37,4.57,0.65,42,1.14,Casual User,Generous Rater,Consistent (Low Variance),High Tagger
28906,1208,1208,3.43,0.73,1363,1.13,Power User,Critical Rater,Consistent (Low Variance),High Tagger
108922,91,91,3.71,1.14,102,1.12,Regular User,Balanced Rater,Moderate Variance,High Tagger
135967,75,75,3.21,1.15,84,1.12,Regular User,Critical Rater,Moderate Variance,High Tagger
75071,33,33,3.27,1.27,37,1.12,Light User,Critical Rater,Discriminating (High Variance),High Tagger
86877,25,25,4.1,0.57,28,1.12,Light User,Generous Rater,Consistent (Low Variance),High Tagger
4450,1613,1613,2.88,0.93,1801,1.12,Power User,Very Critical Rater,Moderate Variance,High Tagger
133699,521,521,3.65,0.67,576,1.11,Power User,Balanced Rater,Consistent (Low Variance),High Tagger
18152,222,222,3.89,0.65,246,1.11,Power User,Balanced Rater,Consistent (Low Variance),High Tagger
121598,30,30,4.07,0.98,33,1.10,Light User,Generous Rater,Moderate Variance,High Tagger
122176,21,21,3.83,0.94,23,1.10,Light User,Balanced Rater,Moderate Variance,High Tagger
130446,735,735,3.09,0.99,800,1.09,Power User,Critical Rater,Moderate Variance,High Tagger
130745,369,369,3.75,0.98,401,1.09,Power User,Balanced Rater,Moderate Variance,High Tagger
44112,56,56,3.25,0.73,61,1.09,Casual User,Critical Rater,Consistent (Low Variance),High Tagger
4087,813,813,3.59,0.85,890,1.09,Power User,Balanced Rater,Moderate Variance,High Tagger
124448,190,190,2.99,1,207,1.09,Power User,Very Critical Rater,Moderate Variance,High Tagger
73989,158,158,4.01,0.65,170,1.08,Power User,Generous Rater,Consistent (Low Variance),High Tagger
107120,52,52,4.47,0.88,56,1.08,Casual User,Generous Rater,Moderate Variance,High Tagger
39707,166,166,3.47,1.14,180,1.08,Power User,Critical Rater,Moderate Variance,High Tagger
96582,74,74,3.72,0.96,79,1.07,Regular User,Balanced Rater,Moderate Variance,High Tagger
24190,37,37,3.8,0.57,39,1.05,Casual User,Balanced Rater,Consistent (Low Variance),High Tagger
91346,135,135,4.18,0.72,140,1.04,Regular User,Generous Rater,Consistent (Low Variance),High Tagger
101419,55,55,3.51,0.79,57,1.04,Casual User,Balanced Rater,Consistent (Low Variance),High Tagger
121403,37,37,4.11,0.68,38,1.03,Casual User,Generous Rater,Consistent (Low Variance),High Tagger
89850,36,36,4.24,0.7,37,1.03,Casual User,Generous Rater,Consistent (Low Variance),High Tagger
33323,882,882,3.04,0.63,906,1.03,Power User,Critical Rater,Consistent (Low Variance),High Tagger
17207,175,175,4.21,0.88,178,1.02,Power User,Generous Rater,Moderate Variance,High Tagger
115679,366,366,3.27,0.88,369,1.01,Power User,Critical Rater,Moderate Variance,High Tagger
122693,166,166,3.43,1.53,166,1.00,Power User,Critical Rater,Discriminating (High Variance),High Tagger
79761,22,22,3.61,1.42,22,1.00,Light User,Balanced Rater,Discriminating (High Variance),High Tagger
20799,26,26,4.17,0.31,26,1.00,Light User,Generous Rater,Consistent (Low Variance),High Tagger
106158,569,569,3.73,0.88,564,0.99,Power User,Balanced Rater,Moderate Variance,High Tagger
39061,169,169,3.2,1.09,167,0.99,Power User,Critical Rater,Moderate Variance,High Tagger
19915,166,166,3.8,0.62,165,0.99,Power User,Balanced Rater,Consistent (Low Variance),High Tagger
14916,858,858,3.5,0.89,839,0.98,Power User,Balanced Rater,Moderate Variance,High Tagger
87469,45,45,4.17,0.95,44,0.98,Casual User,Generous Rater,Moderate Variance,High Tagger
127469,263,263,4.1,0.89,258,0.98,Power User,Generous Rater,Moderate Variance,High Tagger
124394,164,164,4.96,0.3,161,0.98,Power User,Generous Rater,Consistent (Low Variance),High Tagger
59025,345,345,3.97,0.7,336,0.97,Power User,Balanced Rater,Consistent (Low Variance),High Tagger
124556,67,67,4.03,0.74,65,0.97,Casual User,Generous Rater,Consistent (Low Variance),High Tagger
54145,245,245,3.41,0.88,238,0.97,Power User,Critical Rater,Moderate Variance,High Tagger
16146,23,23,3.96,0.79,22,0.96,Light User,Balanced Rater,Consistent (Low Variance),High Tagger
103379,133,133,4.05,1.11,128,0.96,Regular User,Generous Rater,Moderate Variance,High Tagger
71432,559,559,3.34,0.78,539,0.96,Power User,Critical Rater,Consistent (Low Variance),High Tagger
135204,22,22,4.11,0.9,21,0.95,Light User,Generous Rater,Moderate Variance,High Tagger
68874,257,257,3,1.11,244,0.95,Power User,Critical Rater,Moderate Variance,High Tagger
58248,31,31,3.69,0.59,29,0.94,Light User,Balanced Rater,Consistent (Low Variance),High Tagger
15626,31,31,3.89,1.2,29,0.94,Light User,Balanced Rater,Discriminating (High Variance),High Tagger
100144,141,141,2.55,1.44,131,0.93,Regular User,Very Critical Rater,Discriminating (High Variance),High Tagger
36085,117,117,3.9,0.71,109,0.93,Regular User,Balanced Rater,Consistent (Low Variance),High Tagger
41273,649,649,3.79,0.83,604,0.93,Power User,Balanced Rater,Moderate Variance,High Tagger
92072,70,70,3.24,1.87,65,0.93,Regular User,Critical Rater,Discriminating (High Variance),High Tagger
90064,45,45,3.44,0.96,42,0.93,Casual User,Critical Rater,Moderate Variance,High Tagger
8421,29,29,4.24,0.88,27,0.93,Light User,Generous Rater,Moderate Variance,High Tagger
107809,213,213,4.2,0.65,195,0.92,Power User,Generous Rater,Consistent (Low Variance),High Tagger
61599,251,251,2.91,1.31,232,0.92,Power User,Very Critical Rater,Discriminating (High Variance),High Tagger
11248,1167,1167,3.2,0.86,1069,0.92,Power User,Critical Rater,Moderate Variance,High Tagger
9430,129,129,3.38,0.76,119,0.92,Regular User,Critical Rater,Consistent (Low Variance),High Tagger
44892,373,373,3.08,0.67,342,0.92,Power User,Critical Rater,Consistent (Low Variance),High Tagger
30077,100,100,4.37,1.04,92,0.92,Regular User,Generous Rater,Moderate Variance,High Tagger
46998,105,105,3.48,0.75,97,0.92,Regular User,Critical Rater,Consistent (Low Variance),High Tagger
99998,38,38,3.84,0.8,35,0.92,Casual User,Balanced Rater,Moderate Variance,High Tagger
71742,38,38,4.33,0.99,35,0.92,Casual User,Generous Rater,Moderate Variance,High Tagger
118482,75,75,4.01,0.71,68,0.91,Regular User,Generous Rater,Consistent (Low Variance),High Tagger
22377,577,577,3.83,0.81,523,0.91,Power User,Balanced Rater,Moderate Variance,High Tagger
55875,99,99,4.39,0.79,90,0.91,Regular User,Generous Rater,Consistent (Low Variance),High Tagger
47594,299,299,3.68,1.02,268,0.90,Power User,Balanced Rater,Moderate Variance,High Tagger
60932,198,198,3.71,1.02,179,0.90,Power User,Balanced Rater,Moderate Variance,High Tagger
29514,31,31,3.9,0.37,28,0.90,Light User,Balanced Rater,Consistent (Low Variance),High Tagger
28691,20,20,3.9,0.54,18,0.90,Light User,Balanced Rater,Consistent (Low Variance),High Tagger
5817,72,72,3.85,0.81,65,0.90,Regular User,Balanced Rater,Moderate Variance,High Tagger
9815,1135,1135,3.44,0.87,1018,0.90,Power User,Critical Rater,Moderate Variance,High Tagger
98741,62,62,4.15,0.71,56,0.90,Casual User,Generous Rater,Consistent (Low Variance),High Tagger
109510,81,81,4.17,0.66,72,0.89,Regular User,Generous Rater,Consistent (Low Variance),High Tagger
137609,28,28,3.79,1.46,25,0.89,Light User,Balanced Rater,Discriminating (High Variance),High Tagger
52396,224,224,3.07,1.42,200,0.89,Power User,Critical Rater,Discriminating (High Variance),High Tagger
109009,785,785,3.26,1.1,700,0.89,Power User,Critical Rater,Moderate Variance,High Tagger
75347,190,190,3.76,0.87,170,0.89,Power User,Balanced Rater,Moderate Variance,High Tagger
76239,43,43,3.9,0.85,38,0.88,Casual User,Balanced Rater,Moderate Variance,High Tagger
54724,428,428,3.65,0.83,377,0.88,Power User,Balanced Rater,Moderate Variance,High Tagger
97198,635,635,2.91,0.91,560,0.88,Power User,Very Critical Rater,Moderate Variance,High Tagger
128001,25,25,3.4,0.88,22,0.88,Light User,Critical Rater,Moderate Variance,High Tagger
16757,33,33,3.47,1.19,29,0.88,Light User,Critical Rater,Moderate Variance,High Tagger
114639,88,88,4.12,0.71,77,0.88,Regular User,Generous Rater,Consistent (Low Variance),High Tagger
93258,184,184,3.65,0.65,162,0.88,Power User,Balanced Rater,Consistent (Low Variance),High Tagger
77780,104,104,4,1.18,92,0.88,Regular User,Generous Rater,Moderate Variance,High Tagger
112058,33,33,3.98,1.04,29,0.88,Light User,Balanced Rater,Moderate Variance,High Tagger
132037,26,26,3.54,0.97,23,0.88,Light User,Balanced Rater,Moderate Variance,High Tagger
130819,552,552,3.44,0.63,482,0.87,Power User,Critical Rater,Consistent (Low Variance),High Tagger
131228,194,194,3.69,0.72,168,0.87,Power User,Balanced Rater,Consistent (Low Variance),High Tagger
53539,178,178,3.53,1.3,154,0.87,Power User,Balanced Rater,Discriminating (High Variance),High Tagger
100541,90,90,4.34,0.49,77,0.86,Regular User,Generous Rater,Consistent (Low Variance),High Tagger
29115,525,525,3.15,1.03,452,0.86,Power User,Critical Rater,Moderate Variance,High Tagger
85242,94,94,4.24,0.79,81,0.86,Regular User,Generous Rater,Consistent (Low Variance),High Tagger
123885,22,22,4.36,0.5,19,0.86,Light User,Generous Rater,Consistent (Low Variance),High Tagger
81574,22,22,4.39,1.04,19,0.86,Light User,Generous Rater,Moderate Variance,High Tagger
68401,62,62,4.07,0.81,53,0.85,Casual User,Generous Rater,Moderate Variance,High Tagger
133511,358,358,3.74,0.74,303,0.85,Power User,Balanced Rater,Consistent (Low Variance),High Tagger
68317,26,26,4.4,0.8,22,0.85,Light User,Generous Rater,Moderate Variance,High Tagger
110269,342,342,3.27,0.93,292,0.85,Power User,Critical Rater,Moderate Variance,High Tagger
121794,40,40,4.2,1.02,34,0.85,Casual User,Generous Rater,Moderate Variance,High Tagger
96182,461,461,3.63,0.7,394,0.85,Power User,Balanced Rater,Consistent (Low Variance),High Tagger
71929,68,68,4.01,0.88,58,0.85,Regular User,Generous Rater,Moderate Variance,High Tagger
72766,1023,1023,2.93,1.05,857,0.84,Power User,Very Critical Rater,Moderate Variance,High Tagger
116638,76,76,3.7,0.74,64,0.84,Regular User,Balanced Rater,Consistent (Low Variance),High Tagger
83693,40,40,3.3,0.96,33,0.83,Casual User,Critical Rater,Moderate Variance,High Tagger
111982,1225,1225,3.24,1,1017,0.83,Power User,Critical Rater,Moderate Variance,High Tagger
64474,41,41,4.16,0.75,34,0.83,Casual User,Generous Rater,Consistent (Low Variance),High Tagger
132578,36,36,4.07,0.81,30,0.83,Casual User,Generous Rater,Moderate Variance,High Tagger
103566,183,183,3.59,0.95,151,0.83,Power User,Balanced Rater,Moderate Variance,High Tagger
66673,186,186,3.92,0.89,154,0.83,Power User,Balanced Rater,Moderate Variance,High Tagger
10809,372,372,3.6,0.69,305,0.82,Power User,Balanced Rater,Consistent (Low Variance),High Tagger
26855,645,645,2.64,1.46,527,0.82,Power User,Very Critical Rater,Discriminating (High Variance),High Tagger
114338,56,56,4.02,1.03,46,0.82,Casual User,Generous Rater,Moderate Variance,High Tagger
101270,220,220,4.08,0.53,180,0.82,Power User,Generous Rater,Consistent (Low Variance),High Tagger
41184,125,125,3.45,0.87,103,0.82,Regular User,Critical Rater,Moderate Variance,High Tagger
29918,271,271,3.14,1.34,221,0.82,Power User,Critical Rater,Discriminating (High Variance),High Tagger
61943,22,22,3.64,0.57,18,0.82,Light User,Balanced Rater,Consistent (Low Variance),High Tagger
113768,22,22,3.11,1.33,18,0.82,Light User,Critical Rater,Discriminating (High Variance),High Tagger
132870,21,21,4.02,0.66,17,0.81,Light User,Generous Rater,Consistent (Low Variance),High Tagger
64505,238,238,3.84,1.2,193,0.81,Power User,Balanced Rater,Discriminating (High Variance),High Tagger
88738,1572,1572,3.27,1.36,1269,0.81,Power User,Critical Rater,Discriminating (High Variance),High Tagger
15324,307,307,3.48,0.89,248,0.81,Power User,Critical Rater,Moderate Variance,High Tagger
18642,102,102,3.21,1.05,83,0.81,Regular User,Critical Rater,Moderate Variance,High Tagger
6233,442,442,3.46,1,357,0.81,Power User,Critical Rater,Moderate Variance,High Tagger
127645,442,442,3.52,1.07,356,0.81,Power User,Balanced Rater,Moderate Variance,High Tagger
101894,53,53,2.92,1.3,43,0.81,Casual User,Very Critical Rater,Discriminating (High Variance),High Tagger
53397,42,42,3.3,1.26,34,0.81,Casual User,Critical Rater,Discriminating (High Variance),High Tagger
110772,26,26,4.44,0.38,21,0.81,Light User,Generous Rater,Consistent (Low Variance),High Tagger
96296,467,467,3.78,0.74,377,0.81,Power User,Balanced Rater,Consistent (Low Variance),High Tagger
37741,72,72,3.83,0.75,58,0.81,Regular User,Balanced Rater,Consistent (Low Variance),High Tagger
38256,25,25,3.64,1.14,20,0.80,Light User,Balanced Rater,Moderate Variance,High Tagger
12533,138,138,3.51,0.8,111,0.80,Regular User,Balanced Rater,Moderate Variance,High Tagger
51367,210,210,3.8,0.89,168,0.80,Power User,Balanced Rater,Moderate Variance,High Tagger
131307,30,30,3.67,0.89,24,0.80,Light User,Balanced Rater,Moderate Variance,High Tagger
33003,243,243,4.1,0.99,195,0.80,Power User,Generous Rater,Moderate Variance,High Tagger
117270,261,261,3.45,1.08,209,0.80,Power User,Critical Rater,Moderate Variance,High Tagger
19800,572,572,4.02,0.69,451,0.79,Power User,Generous Rater,Consistent (Low Variance),High Tagger
112217,144,144,4.22,0.88,114,0.79,Regular User,Generous Rater,Moderate Variance,High Tagger
130492,40,40,3.93,0.8,31,0.78,Casual User,Balanced Rater,Moderate Variance,High Tagger
121037,95,95,3.65,0.67,74,0.78,Regular User,Balanced Rater,Consistent (Low Variance),High Tagger
47866,670,670,3.29,0.93,520,0.78,Power User,Critical Rater,Moderate Variance,High Tagger
117355,350,350,3.55,0.87,269,0.77,Power User,Balanced Rater,Moderate Variance,High Tagger
45494,126,126,3.73,0.82,97,0.77,Regular User,Balanced Rater,Moderate Variance,High Tagger
121531,142,142,4.06,0.95,110,0.77,Regular User,Generous Rater,Moderate Variance,High Tagger
89274,145,145,3.22,1.37,111,0.77,Regular User,Critical Rater,Discriminating (High Variance),High Tagger
26835,604,604,3.3,1,467,0.77,Power User,Critical Rater,Moderate Variance,High Tagger
78917,358,358,3.76,1.06,277,0.77,Power User,Balanced Rater,Moderate Variance,High Tagger
34349,103,103,3.59,0.82,79,0.77,Regular User,Balanced Rater,Moderate Variance,High Tagger
86229,25,25,4,0.85,19,0.76,Light User,Generous Rater,Moderate Variance,High Tagger
68558,2024,2024,3.09,0.84,1542,0.76,Power User,Critical Rater,Moderate Variance,High Tagger
113540,725,725,3.61,0.92,551,0.76,Power User,Balanced Rater,Moderate Variance,High Tagger
116819,33,33,3.35,1.2,25,0.76,Light User,Critical Rater,Discriminating (High Variance),High Tagger
132914,590,590,3.97,0.69,451,0.76,Power User,Balanced Rater,Consistent (Low Variance),High Tagger
134709,75,75,3.68,1.14,57,0.76,Regular User,Balanced Rater,Moderate Variance,High Tagger
86392,157,157,3.6,0.93,119,0.76,Power User,Balanced Rater,Moderate Variance,High Tagger
18390,1294,1294,3.21,1.47,977,0.76,Power User,Critical Rater,Discriminating (High Variance),High Tagger
127842,97,97,4.02,1.21,74,0.76,Regular User,Generous Rater,Discriminating (High Variance),High Tagger
70119,107,107,4.18,0.83,81,0.76,Regular User,Generous Rater,Moderate Variance,High Tagger
127342,111,111,3.02,1.41,83,0.75,Regular User,Critical Rater,Discriminating (High Variance),High Tagger
