movie_id,release_date
117,2002-05-23
118,1998-06-06
119,2004-11-07
120,2002-01-10
121,2015-02-24
122,2024-12-12
123,2018-08-15
124,2021-01-12
125,2005-10-22
126,1999-06-02
127,2021-11-18
128,1999-02-06
129,1996-02-09
130,2021-06-08
131,2010-02-19
132,2023-10-12
133,2002-08-25
134,2004-03-23
135,2000-02-26
136,2015-09-11
137,2022-02-28
138,1998-02-16
139,2011-02-23
140,2009-07-30
141,2007-03-15
142,1996-10-18
143,2009-03-27
144,2014-02-09
145,1997-06-06
146,2020-11-19
147,2000-11-18
148,2016-04-29
149,2017-08-01
150,2003-01-26
151,2016-06-27
152,2018-06-24
153,2004-10-11
154,2007-08-25
155,2014-12-07
156,2015-01-11
157,2015-04-26
158,1999-06-28
159,2016-03-19
160,2009-09-30
161,2014-06-26
162,2016-07-03
163,2010-09-06
164,2002-07-24
165,2006-08-02
166,2006-01-17
167,2003-07-02
168,2004-03-18
169,2000-04-08
170,2006-04-24
171,2007-02-26
172,1998-07-09
173,2001-11-23
174,2016-09-27
175,2004-03-06
176,2010-07-15
177,2024-05-15
178,2002-02-17
179,2010-12-30
180,2005-12-18
181,2022-08-25
182,2003-04-10
183,2004-11-03
184,2010-07-03
185,2012-04-01
186,2009-04-11
187,1999-11-01
188,2006-11-19
189,1998-06-01
190,2002-06-17
191,1997-08-30
192,2007-09-19
193,2009-01-06
194,2013-09-23
195,1997-06-16
196,2012-12-29
197,2014-09-27
198,2008-05-25
199,2003-11-08
200,2018-09-27
201,2005-05-12
202,2019-05-16
203,2024-08-18
204,2008-06-10
205,2000-07-24
206,2008-09-26
207,2000-07-05
208,2014-01-06
209,2010-06-05
210,2001-11-26
211,2019-01-31
212,2016-03-29
213,2006-01-20
214,2008-12-17
215,2010-09-26
216,2009-01-06
217,1996-09-22
218,2000-02-02
219,2010-04-18
220,2006-05-07
221,2001-08-28
222,2013-03-03
223,2021-08-27
224,2005-08-10
225,1996-05-22
226,2000-10-18
227,2024-11-11
228,2010-10-20
229,2020-08-18
230,2011-09-27
231,2015-05-30
232,2003-06-09
233,2004-10-15
234,2005-04-17
235,1996-09-27
236,2019-01-27
237,1998-03-04
238,1998-05-12
239,2019-05-14
240,2013-01-28
241,2021-08-27
242,2024-11-29
243,2005-04-08
244,2008-09-04
245,2016-02-29
246,2024-04-19
247,2019-12-14
248,2014-03-19
249,2004-10-18
250,2000-09-21
251,2002-11-01
252,1998-09-24
253,1997-09-13
254,2001-07-24
255,1999-05-22
256,1996-04-07
257,2004-06-13
258,2018-10-05
259,2013-07-04
260,2009-06-21
261,2007-01-27
262,2011-06-17
263,2003-02-14
264,1998-12-27
265,2011-06-15
266,2008-10-20
267,2022-10-27
268,2009-07-30
269,2005-05-20
270,2010-07-16
271,2006-09-28
272,2023-03-27
273,2019-08-28
274,1999-01-10
275,2012-07-13
276,2010-09-30
277,2016-09-25
278,1999-04-14
279,2021-10-19
280,1999-06-19
281,2016-04-03
282,2000-07-05
283,2016-10-16
284,1998-10-23
285,2016-05-15
286,2001-03-06
287,2010-08-11
288,2020-03-20
289,1998-06-12
290,2018-03-28
291,2015-10-13
292,2008-03-06
293,2002-06-26
294,1998-09-27
295,1999-04-13
296,2013-07-21
297,2024-07-04
298,2019-02-09
299,2007-05-02
300,2011-04-02
301,2020-10-10
302,2023-07-07
303,2009-02-06
304,2001-03-10
305,2003-05-06
306,2002-09-24
307,1999-09-21
308,2017-10-18
309,2021-06-12
310,2001-11-17
311,2005-07-04
312,2016-06-02
313,2000-06-04
314,2021-01-28
315,1997-11-29
316,1996-01-09
317,1996-11-17
318,2008-11-07
319,2023-01-21
320,2019-09-16
321,2005-08-29
322,2001-08-09
323,2011-06-04
324,2012-02-23
325,2021-07-25
326,1995-11-09
327,2002-06-27
328,1997-04-06
329,1997-12-20
330,2005-07-22
331,2011-06-20
332,2021-02-04
333,2006-05-14
334,2005-08-17
335,2023-02-14
336,2008-01-13
337,2002-11-27
338,2014-06-15
339,1996-10-17
340,2000-05-01
341,2024-12-21
342,2015-01-30
343,2013-02-19
344,2014-08-23
345,2004-06-24
346,2018-11-08
347,2011-03-16
348,2023-05-06
349,2016-06-26
350,2011-10-21
351,2007-03-28
352,2002-01-18
353,2022-11-19
354,2007-06-06
355,2017-12-12
356,2013-11-02
357,2007-01-21
358,2013-12-25
359,2014-06-11
360,2006-01-31
361,2001-10-26
362,2017-10-21
363,2018-01-06
364,2007-08-08
365,2001-07-14
366,2011-02-15
367,2015-07-27
368,1999-06-14
369,1999-12-12
370,2020-12-14
371,2002-07-23
372,2013-05-26
373,2000-04-21
374,2011-05-26
375,2008-02-23
376,2022-08-02
377,1995-12-20
378,2017-10-21
379,1998-01-06
380,2011-09-21
381,1998-02-25
382,2008-06-14
383,2011-10-26
384,2000-04-21
385,2006-08-27
386,2021-11-15
387,2012-03-15
388,2016-07-05
389,2017-02-07
390,2005-11-27
391,2011-07-19
392,2016-04-27
393,2011-12-04
394,2008-10-15
395,2018-11-22
396,2004-06-01
397,2000-08-18
398,2001-04-10
399,2018-08-22
400,2012-06-04
401,2005-02-17
402,2001-02-09
403,2015-03-01
404,2008-04-13
405,2017-04-09
406,2002-12-01
407,2003-09-21
408,2001-05-07
409,2005-05-22
410,2002-04-09
411,1997-08-09
412,2004-07-02
413,2009-10-15
414,2022-12-08
415,2000-11-19
416,2003-10-24
417,2009-09-19
418,1999-04-11
419,2024-05-30
420,2024-12-08
421,2003-08-03
422,1996-05-09
423,2017-03-03
424,2015-02-12
425,1997-06-06
426,2011-01-11
427,2001-04-29
428,2019-01-07
429,2001-10-03
430,2010-12-07
431,2005-12-04
432,2010-11-30
433,1998-05-26
434,2008-05-08
435,2006-12-11
436,2001-06-15
437,2018-03-27
438,2004-11-19
439,2001-02-10
440,2001-03-31
441,2004-12-27
442,2019-04-09
443,2015-01-08
444,1998-05-18
445,2011-10-26
446,2017-11-29
447,2015-06-26
448,2012-09-17
449,2021-10-21
450,2023-06-18
451,2003-05-01
452,2018-07-13
453,2012-11-26
454,2015-10-23
455,2008-08-27
456,2008-09-25
457,2019-10-27
458,2016-07-09
459,2011-04-26
460,2001-02-20
461,2008-08-21
462,2010-04-15
463,2019-05-27
464,2011-02-05
465,2005-09-23
466,2005-10-07
467,1999-10-01
468,2021-11-27
469,2022-11-02
470,2011-05-01
471,2024-02-23
472,2011-05-27
473,1995-12-30
474,2010-08-10
475,2015-03-05
476,2007-12-03
477,1997-12-04
478,2002-10-15
479,2010-02-27
480,2005-01-10
481,2010-11-20
482,2003-03-28
483,2023-07-08
484,2002-11-11
485,2006-12-04
486,2013-01-15
487,1999-11-20
488,2009-08-27
489,2008-02-08
490,2009-04-14
491,2023-11-20
492,2013-08-02
493,2012-04-25
494,2010-04-02
495,2014-12-14
496,2011-10-13
497,2022-04-01
498,2004-11-20
499,2001-03-10
500,2015-05-11
501,2023-09-08
502,1997-01-11
503,2016-10-25
504,2020-07-24
505,2001-12-02
506,2004-01-11
507,1999-06-24
508,2013-08-27
509,2016-12-25
510,2011-08-26
511,2007-08-11
512,2004-12-27
513,2009-06-03
514,1996-02-10
515,2012-11-13
516,2006-05-28
517,2023-11-09
518,2020-01-07
519,1997-08-08
520,2023-04-13
521,2019-10-23
522,2021-03-07
523,1996-11-12
524,1999-01-07
525,2012-07-30
526,2003-07-06
527,2013-04-29
528,1997-10-20
529,1996-02-24
530,2006-05-03
531,2013-04-17
532,2000-04-30
533,2016-07-06
534,2009-10-27
535,2011-06-02
536,2022-06-13
537,2013-02-13
538,2001-02-20
539,1996-07-18
540,2002-01-05
541,1997-11-17
542,2013-01-30
543,2015-01-01
544,2021-09-25
545,2006-01-02
546,2012-12-21
547,1996-08-07
548,2006-01-21
549,2015-08-16
550,2009-06-26
551,2009-11-26
552,2023-02-26
553,2008-12-01
554,2021-11-08
555,2004-11-04
556,2003-05-17
557,2015-06-04
558,2018-04-02
559,2020-10-05
560,2005-01-13
561,2014-09-27
562,2010-06-28
563,2001-12-28
564,2015-05-11
565,2008-08-10
566,2020-01-26
567,2001-10-11
568,2019-09-17
569,2024-05-17
570,2011-12-26
571,2023-12-10
572,2001-04-16
573,2023-12-18
574,2001-07-07
575,2015-08-23
576,2018-05-07
577,2011-11-01
578,2002-05-30
579,2022-10-30
580,2022-04-10
581,2009-04-15
582,2017-12-19
583,2011-11-12
584,1998-10-16
585,2023-03-09
586,2009-10-17
587,2017-08-20
588,2019-05-26
589,2000-11-16
590,2023-05-24
591,2001-06-23
592,2003-06-23
593,2012-06-02
594,2018-12-15
595,1999-04-20
596,2002-11-17
597,1996-07-30
598,2017-11-02
599,2007-04-30
600,2002-02-10
601,2023-12-04
602,2005-12-19
603,2006-09-14
604,2003-04-25
605,2017-11-29
606,2023-11-26
607,2024-08-10
608,2018-07-09
609,2023-01-30
610,2005-12-26
611,2002-09-28
612,1997-06-03
613,2021-07-30
614,2016-10-10
615,1996-12-05
616,2008-11-20
617,2002-11-28
618,2014-08-23
619,2013-03-24
620,2002-11-04
621,2018-01-04
622,1999-09-03
623,2020-07-14
624,2004-11-07
625,2018-01-01
626,1997-06-30
627,2009-09-07
628,2014-05-24
629,1999-03-18
630,1997-09-08
631,2023-01-03
632,2012-10-18
633,2016-09-16
634,2016-09-30
635,1999-08-05
636,2018-12-19
637,2011-08-10
638,2022-08-27
639,2014-04-06
640,2002-07-12
641,2019-03-05
642,2017-11-20
643,2011-02-10
644,2014-12-12
645,2008-05-13
646,2010-08-10
647,2015-01-08
648,2015-03-02
649,2024-11-06
650,1998-08-15
651,1996-12-22
652,2020-10-02
653,2010-09-17
654,2008-07-06
655,2013-05-01
656,2019-10-15
657,2016-02-06
658,1998-05-26
659,2007-08-15
660,2017-06-10
661,2016-07-24
662,2002-07-11
663,1996-11-30
664,2024-03-31
665,2002-07-18
666,2002-04-22
667,2004-12-27
668,1997-04-04
669,2018-08-11
670,2002-02-14
671,2006-07-19
672,2011-01-28
673,2010-07-27
674,1999-09-06
675,1996-01-15
676,2007-11-28
677,2015-04-02
678,2017-09-11
679,1999-04-11
680,2022-04-11
681,2001-08-14
682,2009-03-14
683,2002-08-07
684,2016-04-06
685,1997-12-24
686,2015-07-04
687,2003-10-30
688,2002-07-23
689,2006-10-02
690,1997-11-02
691,2021-10-07
692,1997-01-31
693,2013-02-22
694,2020-03-18
695,2010-04-13
696,2001-12-08
697,2002-07-22
698,1997-07-20
699,2009-04-11
700,2009-01-20
701,1999-04-27
702,2015-07-26
703,2016-07-07
704,2021-05-13
705,2009-06-17
706,2015-08-11
707,2021-06-13
708,1997-04-02
709,2022-10-26
710,2016-03-12
711,2014-10-22
712,1996-03-21
713,2007-02-07
714,2016-12-30
715,2002-06-08
716,2015-06-17
717,2013-09-29
718,1996-04-30
719,2009-05-28
720,2007-11-04
721,2009-08-30
722,2007-07-01
723,2016-12-17
724,2017-10-28
725,2017-07-03
726,2017-09-16
727,2021-11-23
728,2019-05-14
729,2013-11-12
730,2009-06-15
731,1997-09-10
732,2007-12-23
733,1996-05-26
734,2009-01-07
735,1996-06-20
736,2003-01-05
737,2016-02-20
738,2007-09-13
739,2006-01-10
740,2004-05-19
741,2005-11-27
742,2008-12-16
743,2012-01-17
744,1996-10-13
745,2020-09-07
746,2018-11-09
747,2005-10-23
748,2022-01-04
749,2024-07-05
750,2024-08-02
751,2006-05-05
752,2001-09-25
753,2009-10-06
754,2012-12-02
755,2021-12-06
756,1996-06-29
757,2021-03-05
758,2012-03-24
759,2008-01-04
760,2010-05-06
761,2018-12-20
762,2003-01-29
763,1998-02-28
764,2010-04-18
765,2011-09-10
766,2012-01-10
767,2020-10-15
768,2007-12-14
769,1999-05-28
770,2004-10-11
771,2000-08-31
772,1996-01-23
773,1996-12-23
774,2021-06-25
775,1996-09-27
776,1996-08-23
777,2011-02-22
778,2016-09-19
779,1998-03-18
780,2022-09-15
781,2016-09-25
782,1996-09-27
783,2023-03-24
784,2022-03-29
785,2004-06-22
786,2009-12-28
787,2024-04-29
788,1997-07-15
789,2020-08-19
790,2022-05-06
791,2001-09-17
792,2016-06-22
793,2010-11-04
794,1999-10-17
795,2023-07-09
796,2002-08-30
797,2022-05-07
798,2022-12-06
799,2000-11-22
800,1998-01-16
801,1997-06-18
802,2019-02-13
803,2001-09-21
804,2016-12-11
805,2000-09-02
806,1999-04-09
807,2024-07-22
808,2013-02-10
809,1999-10-16
810,2003-04-06
811,1999-04-13
812,2004-07-13
813,2001-08-15
814,2001-10-04
815,1996-05-07
816,1996-10-09
817,1998-10-29
818,2016-01-30
819,2020-08-05
820,2022-09-01
821,2005-11-15
822,2004-07-10
823,2016-02-27
824,2000-03-28
825,2020-09-01
826,2001-01-30
827,2022-05-10
828,2018-02-03
829,2019-06-17
830,2012-01-08
831,2024-06-08
832,2012-10-29
833,2012-12-12
834,2020-12-01
835,2021-06-07
836,2010-10-16
837,2021-11-03
838,2010-07-01
839,1997-07-11
840,2015-05-23
841,2020-07-16
842,2004-05-21
843,2014-05-10
844,2018-06-11
845,2004-11-21
846,2020-06-16
847,2004-03-26
848,1997-03-07
849,2006-06-28
850,1999-08-17
851,2021-03-02
852,2006-07-04
853,2010-12-11
854,2018-02-28
855,2009-05-30
856,2018-04-23
857,2007-03-08
858,1997-11-12
859,2014-07-16
860,2022-01-11
861,2020-02-27
862,2009-01-05
863,2010-11-20
864,1999-03-06
865,2000-12-17
866,1996-07-24
867,2003-09-17
868,2016-05-11
869,2004-07-27
870,2006-11-29
871,2022-07-02
872,2008-12-25
873,2023-06-11
874,2018-07-25
875,2019-03-23
876,1995-11-07
877,1997-12-07
878,2017-11-25
879,2017-02-15
880,2009-08-29
881,2021-11-03
882,2020-04-24
883,1996-02-23
884,2016-02-12
885,1996-09-07
886,2014-05-20
887,2018-10-12
888,2013-06-15
889,2003-04-25
890,2006-06-02
891,2017-04-25
892,2001-06-08
893,2010-06-14
894,2012-02-03
895,2004-02-19
896,2013-08-21
897,2003-03-20
898,2024-01-08
899,2013-09-07
900,2005-09-19
901,2002-02-15
902,2022-05-08
903,2008-11-23
904,2021-06-15
905,2020-10-20
906,2021-07-02
907,2015-11-11
908,2008-08-18
909,2014-10-01
910,2003-04-29
911,2019-06-19
912,2023-05-11
913,2001-10-15
914,2004-03-12
915,1997-10-30
916,2024-08-22
917,2009-03-10
918,2021-10-24
919,2007-09-11
920,2014-01-27
921,2020-02-19
922,2000-06-21
923,2020-10-09
924,2017-03-03
925,2009-03-18
926,2007-10-19
927,2000-09-06
928,2024-10-24
929,1996-09-16
930,2000-11-09
931,2014-07-19
932,2017-05-05
933,2020-06-03
934,2022-08-22
935,2023-05-01
936,2023-03-28
937,2000-09-13
938,2007-08-14
939,2010-05-04
940,2006-09-29
941,2000-06-26
942,2004-04-27
943,2013-05-26
944,2017-05-05
945,2022-12-12
946,2009-12-30
947,2018-04-05
948,2019-06-24
949,2010-07-23
950,2012-09-22
951,2002-05-23
952,2019-10-19
953,2008-12-21
954,2011-05-05
955,2002-10-08
956,2012-06-27
957,1998-03-01
958,1995-11-22
959,2017-03-31
960,2000-07-18
961,2006-01-04
962,2019-10-27
963,2020-04-19
964,2023-09-06
965,2004-08-18
966,2012-02-26
967,2012-08-04
968,2010-03-29
969,1997-08-26
970,1999-02-25
971,2022-09-18
972,2013-07-05
973,2002-08-26
974,2020-04-08
975,2018-05-13
976,1999-11-12
977,2009-01-16
978,2008-10-24
979,2021-11-23
980,2017-08-08
981,2003-11-19
982,1996-12-11
983,2013-10-14
984,2002-06-06
985,2008-09-26
986,2000-06-16
987,1998-05-02
988,2001-05-15
989,2010-10-02
990,2012-09-21
991,2002-05-30
992,2014-11-30
993,2000-10-13
994,2000-07-25
995,2004-05-28
996,2015-01-26
997,2019-10-18
998,2001-09-18
999,2009-08-01
1000,2009-09-02
1001,2006-10-14
1002,1999-01-13
1003,2015-05-19
1004,2000-05-09
1005,2014-08-24
1006,2014-12-02
1007,2017-05-31
1008,2015-09-15
1009,2022-03-06
1010,1997-01-18
1011,2014-01-16
1012,2002-04-03
1013,1996-08-31
1014,2011-07-13
1015,2001-02-06
1016,2000-12-04
1017,2023-05-17
1018,1998-06-04
1019,2020-10-11
1020,2014-02-20
1021,2000-07-23
1022,2001-05-29
1023,2024-10-06
1024,2018-03-20
1025,1998-01-04
1026,2016-03-20
1027,2005-05-29
1028,2013-10-13
1029,2017-11-19
1030,2006-02-04
1031,2015-03-27
1032,2009-05-13
1033,2012-07-26
1034,2013-05-15
1035,2000-01-01
1036,2020-04-07
1037,1997-05-15
1038,2003-10-28
1039,2008-03-10
1040,1998-03-01
1041,2018-08-17
1042,2009-10-24
1043,2023-02-07
1044,1999-05-12
1045,2009-05-11
1046,1997-04-18
1047,2007-03-24
1048,2002-11-02
1049,1996-07-07
1050,2005-11-18
1051,2009-03-11
1052,2014-07-12
1053,2024-11-14
1054,2009-06-06
1055,1995-11-06
1056,2011-05-31
1057,2013-05-09
1058,2014-04-23
1059,2002-01-17
1060,2001-12-05
1061,2011-02-14
1062,2014-12-16
1063,2008-05-28
1064,2003-04-17
1065,2008-11-15
1066,2020-12-03
1067,1997-04-27
1068,2007-08-18
1069,2017-01-21
1070,2004-03-09
1071,1999-02-24
1072,2006-04-08
1073,2019-06-23
1074,2002-11-28
1075,2024-01-20
1076,2000-01-26
1077,2021-10-02
1078,2013-07-14
1079,2015-02-24
1080,2007-11-14
1081,2006-06-12
1082,2020-05-17
1083,2008-04-02
1084,2012-10-20
1085,2020-10-13
1086,1996-09-28
1087,2015-11-14
1088,2013-01-31
1089,2005-10-21
1090,2013-05-12
1091,2016-01-14
1092,2011-08-31
1093,2000-11-22
1094,2012-08-05
1095,1997-08-08
1096,2004-10-01
1097,2018-07-30
1098,2006-02-17
1099,2010-12-31
1100,2024-12-07
1101,2005-11-01
1102,1997-11-30
1103,2013-05-25
1104,2022-07-04
1105,2014-06-09
1106,2016-04-15
1107,2019-05-26
1108,2023-05-10
1109,2014-07-01
1110,2008-10-04
1111,2002-11-26
1112,2010-09-05
1113,2001-06-28
1114,2021-08-05
1115,1996-06-20
1116,2008-03-04
1117,2023-02-25
1118,2024-06-03
1119,2003-04-29
1120,2003-04-27
1121,2015-01-01
1122,2003-09-04
1123,2011-02-11
1124,2000-05-07
1125,2013-02-25
1126,1997-03-02
1127,2020-02-14
1128,2004-08-16
1129,2000-04-30
1130,1996-06-16
1131,1996-03-18
1132,2001-09-25
1133,2022-11-30
1134,1996-11-26
1135,2011-01-30
1136,2002-05-01
1137,2015-07-22
1138,2021-10-03
1139,2007-01-16
1140,2002-12-23
1141,2003-03-08
1142,2024-07-26
1143,2017-02-07
1144,2011-02-21
1145,2004-12-21
1146,2009-09-01
1147,2001-12-04
1148,2006-09-10
1149,2024-03-06
1150,2014-10-02
1151,2003-01-11
1152,2014-12-28
1153,2006-07-06
1154,2020-02-13
1155,2016-01-22
1156,2004-11-23
1157,2015-01-24
1158,2017-09-22
1159,2017-01-25
1160,2000-09-30
1161,2010-04-11
1162,2000-04-28
1163,2007-12-04
1164,2000-10-07
1165,2016-09-09
1166,2011-12-19
1167,1997-11-16
1168,2011-05-23
1169,2022-03-19
1170,2012-06-17
1171,1996-03-21
1172,2005-03-03
1173,2005-03-18
1174,2003-01-20
1175,2024-10-26
1176,2003-04-02
1177,2002-05-28
1178,2005-06-04
1179,2003-09-02
1180,2024-09-14
1181,2008-02-23
1182,2000-09-17
1183,1998-06-03
1184,2022-05-25
1185,1997-08-11
1186,2001-02-04
1187,2023-09-08
1188,2003-06-04
1189,2015-05-16
1190,2005-06-23
1191,1996-12-14
1192,2011-09-04
1193,2019-10-22
1194,2016-08-04
1195,2003-05-09
1196,2018-05-30
1197,2020-12-30
1198,2003-01-09
1199,2024-07-14
1200,1997-04-21
1201,2013-09-25
1202,2022-05-25
1203,2009-03-19
1204,2000-04-06
1205,2001-03-31
1206,1999-08-10
1207,2018-10-09
1208,2003-05-04
1209,2009-07-09
1210,2005-11-04
1211,2008-11-20
1212,2000-11-07
1213,2021-09-02
1214,2011-02-10
1215,2017-11-07
1216,1999-08-02
1217,2002-08-28
1218,2014-12-12
1219,2015-03-29
1220,2018-08-28
1221,2017-12-15
1222,2014-01-01
1223,2007-06-07
1224,2023-08-10
1225,2013-02-06
1226,2015-11-04
1227,2010-09-30
1228,2006-04-09
1229,2009-05-20
1230,2004-02-01
1231,2021-12-18
1232,2019-08-25
1233,2000-01-14
1234,2017-04-15
1235,2015-09-15
1236,2018-09-17
1237,1996-05-02
1238,1999-04-18
1239,2008-02-27
1240,2018-07-11
1241,1996-10-31
1242,2016-09-26
1243,2005-11-05
1244,2010-10-07
1245,2012-01-06
1246,2011-01-19
1247,2001-05-01
1248,1995-10-27
1249,1998-12-02
1250,2022-08-02
1251,2011-03-01
1252,2000-09-01
1253,2007-05-07
1254,2000-09-12
1255,1999-05-15
1256,2008-06-10
1257,2011-09-12
1258,2002-08-22
1259,2003-06-01
1260,1997-07-29
1261,2015-05-13
1262,2012-05-20
1263,1996-04-25
1264,1998-03-16
1265,2002-12-23
1266,1997-02-13
1267,2004-08-17
1268,2009-02-06
1269,2001-12-21
1270,2004-11-03
1271,2017-01-22
1272,2024-04-30
1273,2000-08-12
1274,2004-04-16
1275,1999-11-28
1276,2016-06-26
1277,2008-10-06
1278,1996-05-04
1279,2007-06-06
1280,1997-08-06
1281,2022-10-11
1282,2006-10-23
1283,2022-08-01
1284,2021-09-09
1285,1997-06-04
1286,1999-06-14
1287,2007-07-02
1288,2018-01-15
1289,1999-12-25
1290,2007-06-26
1291,2000-07-31
1292,2010-01-19
1293,2000-07-11
1294,1997-10-25
1295,2018-11-03
1296,2007-05-04
1297,1999-06-21
1298,2002-02-17
1299,2001-10-02
1300,1996-07-15
1301,2015-06-30
1302,2023-05-07
1303,1999-10-26
1304,2005-07-03
1305,1999-08-02
1306,2011-04-13
1307,1998-07-16
1308,2020-06-02
1309,2008-04-25
1310,2011-02-13
1311,1999-06-02
1312,2004-03-06
1313,2009-12-03
1314,2018-09-25
1315,2002-07-19
1316,2022-07-30
1317,2004-07-17
1318,2022-07-20
1319,2011-02-23
1320,2008-06-13
1321,2001-02-15
1322,1998-11-12
1323,2015-03-27
1324,1996-04-22
1325,2022-07-20
1326,2015-01-12
1327,2009-03-12
1328,2011-11-26
1329,2003-06-29
1330,2023-06-05
1331,2011-06-27
1332,1996-12-30
1333,2008-04-18
1334,1997-12-29
1335,2022-06-07
1336,2011-01-18
1337,2012-02-04
1338,1999-03-18
1339,2019-11-25
1340,2013-04-11
1341,1996-10-25
1342,2016-07-23
1343,2000-05-15
1344,2023-02-25
1345,2009-12-02
1346,2015-04-26
1347,2017-05-18
1348,2001-08-09
1349,2012-10-16
1350,2017-03-05
1351,2020-10-11
1352,1999-04-02
1353,2021-03-09
1354,2016-12-30
1355,2004-09-23
1356,2003-01-26
1357,1996-06-04
1358,2002-04-26
1359,2004-11-24
1360,2018-08-21
1361,2008-07-16
1362,2016-09-15
1363,2017-11-27
1364,2013-08-30
1365,2011-01-25
1366,2022-03-07
1367,2000-03-15
1368,2015-05-17
1369,2003-05-15
1370,2024-01-27
1371,2012-06-15
1372,2014-03-29
1373,2005-09-28
1374,2014-07-31
1375,2023-08-12
1376,2013-12-30
1377,2024-06-20
1378,1996-10-05
1379,2013-08-31
1380,2009-05-23
1381,2008-07-16
1382,2018-05-13
1383,2006-03-14
1384,2007-04-30
1385,2000-07-03
1386,2024-05-12
1387,2000-02-01
1388,2009-12-15
1389,2019-03-10
1390,2000-02-13
1391,1997-11-30
1392,2011-01-12
1393,2000-08-01
1394,2005-03-24
1395,2022-05-22
1396,1997-10-18
1397,2017-11-25
1398,2003-07-18
1399,2019-09-23
1400,2005-05-12
1401,2022-01-04
1402,2004-10-08
1403,2000-03-21
1404,2006-04-29
1405,2008-02-20
1406,2009-09-08
1407,2020-01-22
1408,2001-08-10
1409,2012-02-27
1410,2021-10-25
1411,2017-12-06
1412,2010-02-28
1413,2019-06-02
1414,2006-07-29
1415,2020-09-03
1416,2007-02-05
1417,2023-11-28
1418,2003-06-29
1419,2000-02-26
1420,2006-05-19
1421,1996-06-19
1422,2016-11-14
1423,2012-02-15
1424,2019-05-07
1425,2021-01-28
1426,1999-06-23
1427,2002-11-05
1428,2012-03-07
1429,2016-08-04
1430,1999-04-08
1431,2013-07-20
1432,2015-07-10
1433,2000-10-19
1434,2022-07-12
1435,2010-03-10
1436,2015-06-03
1437,2015-04-01
1438,2014-08-27
1439,1998-12-01
1440,2011-01-08
1441,2011-08-31
1442,2003-12-24
1443,2010-08-04
1444,2024-09-15
1445,2021-09-20
1446,2008-03-21
1447,2018-02-20
1448,2023-06-05
1449,2012-04-09
1450,2018-04-10
1451,2004-12-26
1452,2014-09-13
1453,2022-07-03
1454,2002-12-06
1455,2007-10-21
1456,2020-01-31
1457,1997-11-02
1458,2012-12-22
1459,2002-06-20
1460,1998-11-17
1461,2018-08-17
1462,1996-10-14
1463,1996-09-07
1464,2012-09-22
1465,2021-12-13
1466,2018-05-06
1467,1999-09-20
1468,2003-05-22
1469,2007-12-19
1470,2015-11-21
1471,2021-09-17
1472,2010-06-21
1473,2002-08-20
1474,2012-03-31
1475,2012-04-09
1476,2002-07-27
1477,2011-09-13
1478,2007-06-11
1479,2012-03-02
1480,2003-01-10
1481,2005-11-07
1482,2018-09-17
1483,2001-05-20
1484,2000-10-01
1485,1995-11-12
1486,2012-02-13
1487,2016-05-22
1488,2004-12-01
1489,2015-08-05
1490,2015-02-21
1491,2010-01-05
1492,2015-08-22
1493,2008-01-03
1494,2005-06-28
1495,2004-03-03
1496,2006-08-21
1497,2015-01-19
1498,2008-01-25
